orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
11;Espigón La Farola;SI021;6/2/2019;2019;verano;28;5.74;;5.01;ausencia;ausencia;ausencia;ausencia;1800;300;10;3.9;0.43;0.15;0.25;8;27;50;49;<0.006;<0.002;0.5;10;66;Deteriorada
12;Reserva Ecológica;SI022;6/2/2019;2019;verano;28.8;7.32;;7.1;ausencia;ausencia;ausencia;ausencia;1200;900;10;5.1;0.17;0.1;0.62;6;32;64;49;<0.006;<0.002;0.5;10;61;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;6/2/2019;2019;verano;28.4;6.8;;6.4;ausencia;ausencia;ausencia;ausencia;46000;29600;3200;6.3;0.7;0.19;1.42;7;24;41;72;<0.006;<0.002;0.5;10;37;Extremadamente deteriorada
14;Perú Puente;SI023;6/2/2019;2019;verano;25.2;1.56;;4.85;presencia;ausencia;presencia;presencia;200000;179500;15800;10;7.46;0.8;0.94;24;37;8;49;<0.006;<0.002;0.5;10;27;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;6/2/2019;2019;verano;26.6;7.5;;7.63;ausencia;ausencia;ausencia;presencia;9000;7900;850;11.9;0.38;0.1;0.43;6;32;42;49;<0.006;<0.002;0.5;10;45;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;6/2/2019;2019;verano;25.9;6.3;;7.4;ausencia;ausencia;ausencia;ausencia;34000;28100;800;9.8;0.34;0.1;0.19;6;42;49;49;<0.006;<0.002;0.5;10;42;Extremadamente deteriorada
17;Costa y Melo;VL031;6/2/2019;2019;verano;25.5;7.5;;7.45;ausencia;ausencia;ausencia;presencia;18500;16600;950;10.6;0.16;0.19;1.29;6;37;50;225;<0.006;<0.002;0.5;10;40;Extremadamente deteriorada
18;Parque de los Niños;CA041;6/2/2019;2019;verano;27.4;4.6;;7.8;;;;;900;900;330;3;0.25;0.07;0.23;5;<50;49;;<0.02;<0.002;0.5;10;53;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CA044;6/2/2019;2019;verano;26.2;3.6;;7.6;;;;;200;150;600;2;2.31;0.08;0.26;5;<50;38;;<0.02;<0.002;0.5;10;49;Muy deteriorada
20;Club de Pescadores;CA046;6/2/2019;2019;verano;27.3;5.1;;7.8;;;;;25000;25000;19000;2;2.44;0.09;0.29;5;<50;163;;<0.02;<0.002;0.5;10;34;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;6/2/2019;2019;verano;25.9;4.7;;8;;;;;52;52;31;2;0.25;0.05;0.16;5;<50;61;;<0.02;<0.002;0.5;10;81;Levemente deteriorada
22;Escollera de Propaneros;AV054;6/2/2019;2019;verano;26.7;ND;;6;ausencia;ausencia;ausencia;ausencia;5000;4400;50;5.6;0.35;0.15;0.43;26;40;55;49;<0.006;<0.002;0.5;10;46;Muy deteriorada
23;Polo Petroquímico Dock Sud;AV051;6/2/2019;2019;verano;26.4;ND;;6.2;ausencia;ausencia;ausencia;ausencia;2600;2400;10;5.5;0.66;0.15;0.25;10;29;58;49;<0.006;<0.002;0.5;10;54;Muy deteriorada
24;Arroyo Sarandí;AV052;6/2/2019;2019;verano;26.9;ND;;6.4;ausencia;ausencia;ausencia;ausencia;5200;4500;450;5.7;0.66;0.18;0.74;8;47;34;49;<0.006;<0.002;0.5;10;44;Extremadamente deteriorada
25;Costa de Villa Domínico     ;AV055;6/2/2019;2019;verano;26.7;ND;;6.5;ausencia;ausencia;ausencia;ausencia;2700;2600;650;4.1;0.79;0.13;0.25;14;59;54;49;<0.006;<0.002;0.5;10;48;Muy deteriorada
26;Arroyo Santo Domingo;AV053;6/2/2019;2019;verano;27;ND;;6.8;ausencia;ausencia;ausencia;ausencia;600;500;100;4.5;0.93;0.31;0.99;16;52;39;49;<0.006;<0.002;0.5;10;51;Muy deteriorada
27;Espora 400 m;QU061;6/2/2019;2019;verano;24;6.81;;7.29;ausencia;ausencia;ausencia;presencia;200;200;10;5.7;0.33;0.32;0.68;20;37;61;121;<0.006;<0.002;0.5;10;58;Muy deteriorada
28;Náutico 400 m;QU062;6/2/2019;2019;verano;24;7.3;;7.28;ausencia;ausencia;ausencia;presencia;600;240;10;6.9;0.37;0.25;0.42;14;44;79;195;<0.006;<0.002;0.5;10;61;Muy deteriorada
29;Pejerrey Club 400 m;QU063;6/2/2019;2019;verano;25;5.99;;7.26;ausencia;ausencia;ausencia;presencia;400;400;10;5.5;0.37;0.15;0.19;10;23;66;49;<0.006;<0.002;0.5;10;74;Deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;13/2/2019;2019;verano;25;9.49;;8.11;presencia;ausencia;ausencia;presencia;11000;4800;1050;5.5;0.61;0.31;0.42;28;43;35;49;<0.006;<0.002;0.5;18;39;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;13/2/2019;2019;verano;22.1;9.18;;8.07;ausencia;ausencia;ausencia;ausencia;2800;1400;1400;7.3;0.05;0.31;0.99;26;56;33;75;<0.006;<0.002;0.5;23;45;Muy deteriorada
32;Costanera Hudson Calle 63;BZ080;13/2/2019;2019;verano;22;7.59;;7.94;ausencia;ausencia;ausencia;ausencia;4000;1900;1300;5.4;0.05;0.15;1.42;22;47;31;49;<0.006;<0.002;0.5;23;46;Muy deteriorada
33;Camping Eva Perón;EN081;6/2/2019;2019;verano;25.2;6.51;;8.23;ausencia;ausencia;ausencia;ausencia;800;450;50;5.4;0.23;0.1;0.56;4;37;41;49;<0.006;<0.002;0.5;11;62;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;6/2/2019;2019;verano;25.7;5.8;;7.99;ausencia;ausencia;ausencia;ausencia;1400;500;50;7;0.08;0.13;0.18;12;49;90;49;<0.006;<0.002;0.5;10;66;Deteriorada
35;Arroyo El Gato;EN083;6/2/2019;2019;verano;25.5;4.66;;8.08;ausencia;ausencia;ausencia;ausencia;20000;19250;400;6;4.95;0.39;1.17;18;62;41;49;<0.006;<0.002;0.5;13;38;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;6/2/2019;2019;verano;25.9;4.23;;7.93;ausencia;ausencia;ausencia;ausencia;7500;7000;500;8.1;0.05;0.1;0.25;10;42;39;49;<0.006;<0.002;0.5;10;46;Muy deteriorada
37;Balneario Palo Blanco;BS092;6/2/2019;2019;verano;20;5.38;;7.67;ausencia;ausencia;presencia;ausencia;14000;12900;1300;4.7;2.41;0.18;0.19;14;76;25;49;<0.006;<0.002;0.5;10;39;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;6/2/2019;2019;verano;18;5.03;;8.11;presencia;presencia;presencia;presencia;16800;11000;1200;3;10.1;0.6;0.62;16;85;8;106;<0.006;<0.002;0.5;10;30;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;6/2/2019;2019;verano;20;7.77;;7.87;ausencia;ausencia;presencia;ausencia;11200;8400;1900;5.5;0.47;0.3;0.99;4;52;46;49;<0.006;<0.002;0.54;10;43;Extremadamente deteriorada
40;Balneario Municipal;BS094;6/2/2019;2019;verano;20;5.93;;8.05;ausencia;ausencia;ausencia;ausencia;350;150;200;4.2;0.28;1.6;1.66;12;66;86;49;<0.006;<0.002;0.5;10;50;Muy deteriorada
41;Playa La Balandra;BS093;6/2/2019;2019;verano;20;7.02;;7.65;ausencia;ausencia;ausencia;ausencia;1000;950;850;3.6;0.09;0.25;0.25;7;57;36;49;<0.006;<0.002;0.5;10;57;Muy deteriorada
1;Canal Villanueva y Río Luján;TI001;28/5/2019;2019;otoño;16;6.49;;7.43;Ausencia;Ausencia;Ausencia;Presencia;300;300;30;4;0.07;0.26;1.3;4;21;74;150;<0.006;<0.002;0.5;10;53;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;28/5/2019;2019;otoño;16.4;5.21;;7.16;Ausencia;Ausencia;Ausencia;Ausencia;400;400;70;3;0.17;0.17;1.8;6;22;69;<50;<0.006;<0.002;0.5;10;51;Muy deteriorada
3;Canal Aliviador y Río Lujan;TI002;28/5/2019;2019;otoño;16;0.21;;7.43;Ausencia;Presencia;Ausencia;Presencia;3900;3800;950;2.6;2.62;0.52;0.52;8;22;45;140;<0.006;<0.002;0.5;10;38;Extremadamente deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;28/5/2019;2019;otoño;16.8;6.76;;7.2;Ausencia;Ausencia;Ausencia;Ausencia;500;500;350;2.6;0.25;0.2;0.49;6;17;74;<50;<0.006;<0.002;0.5;10;60;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;28/5/2019;2019;otoño;16.8;6.12;;7.31;Ausencia;Ausencia;Ausencia;Presencia;1400;1300;700;2.6;0.73;0.19;1.37;10;25;66;70;<0.006;<0.002;0.5;10;45;Muy deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;28/5/2019;2019;otoño;16.5;5.61;;7.74;Ausencia;Presencia;Ausencia;Presencia;36000;33400;12900;4.5;9.5;0.46;0.8;10;37;29;130;<0.006;<0.002;0.5;10;35;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007;28/5/2019;2019;otoño;16.5;6.27;;7.37;Ausencia;Ausencia;Ausencia;Presencia;14400;9600;1800;2.5;1;0.26;0.26;8;55;62;90;<0.006;<0.002;0.5;10;40;Extremadamente deteriorada
8;Río Capitán y Río San Antonio;TI008;28/5/2019;2019;otoño;17.8;7.99;;7.43;Ausencia;Ausencia;Ausencia;Ausencia;250;250;40;2.7;0.05;0.2;0.7;11;47;89;110;<0.006;<0.002;0.5;10;58;Muy deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;28/5/2019;2019;otoño;16.5;7.32;;7.2;Ausencia;Ausencia;Ausencia;Ausencia;600;400;200;2.2;0.05;0.1;0.59;6;37;90;190;<0.006;<0.002;0.5;10;58;Muy deteriorada
10;Del Arca;SF015;28/5/2019;2019;otoño;14;4.17;;7.52;Ausencia;Ausencia;Ausencia;;26000;19000;5950;4.6;2.3;0.39;0.39;11;29;51;<50;<0.006;<0.002;0.5;10;37;Extremadamente deteriorada
11;Espigón La Farola;SI021;28/5/2019;2019;otoño;;;;;;;;;;;;;;;;;;;;;;;;;
12;Reserva Ecológica;SI022;28/5/2019;2019;otoño;17.5;7.14;;7.73;Ausencia;Ausencia;Ausencia;Ausencia;4400;4400;950;4.3;0.65;0.49;0.62;4;42;60;<50;<0.006;<0.002;0.5;10;47;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;28/5/2019;2019;otoño;16;8.58;;7.88;Ausencia;Ausencia;Ausencia;Ausencia;3600;2400;200;8.7;0.35;0.24;0.6;8;51;82;<50;<0.006;<0.002;0.5;10;52;Muy deteriorada
14;Perú Puente;SI023;28/5/2019;2019;otoño;19.7;4.7;;7.72;Ausencia;Ausencia;Ausencia;Ausencia;13000;9600;4600;23.1;1.19;0.24;0.6;8;17;5.5;<50;<0.006;<0.002;0.5;10;40;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;15/5/2019;2019;otoño;17.7;8.3;;7.6;Ausencia;Ausencia;Ausencia;Ausencia;34600;24300;5000;23;1.28;0.1;0.25;10;29;83;<50;<0.006;<0.002;0.5;10;39;Extremadamente deteriorada
16;Puerto de Olivos Espigón;VL032;15/5/2019;2019;otoño;16.8;7;;7.19;Ausencia;Ausencia;Ausencia;Ausencia;4200;2500;400;6.4;0.6;0.1;0.13;8;17;90;<50;<0.006;<0.002;0.5;10;-;
17;Costa y Melo;VL031;15/5/2019;2019;otoño;16.2;8.7;;8.08;Ausencia;Ausencia;Ausencia;Presencia;8800;7400;2800;11.8;0.05;0.1;0.34;18;24;10;<50;<0.006;<0.002;0.5;10;40;Extremadamente deteriorada
18;Parque de los Niños;CA041;15/5/2019;2019;otoño;16.3;6.2;;7.8;;;;;12000;10000;500;10;1.54;;0.28;5;<50;132;-;<0.02;<0.002;0.5;10;37;Extremadamente deteriorada
19;Costanera Norte - Espigón Abanico;CA044;15/5/2019;2019;otoño;16.7;5.1;;7.7;;;;;22000;18000;5500;10;2.19;;0.3;5;<50;120;-;<0.02;<0.002;0.5;10;35;Extremadamente deteriorada
20;Club de Pescadores;CA046;15/5/2019;2019;otoño;20.1;6.4;;8.1;;;;;4000;4000;450;10;1.41;;0.26;5;<50;153;-;<0.02;<0.002;0.5;10;41;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;15/5/2019;2019;otoño;17.1;6.8;;8;;;;;1400;1400;80;10;0.6;;0.21;5;<50;10;-;<0.02;<0.002;0.5;10;54;Muy deteriorada
22;Escollera de Propaneros;AV054;15/5/2019;2019;otoño;18.2;5.84;;7.51;Ausente;Ausente;Ausente;Ausente;15800;14200;4250;4.3;1.44;0.3;0.55;10;29;85;<50;<0.006;<0.002;0.5;10;41;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;15/5/2019;2019;otoño;17.6;4.7;;7.53;Ausente;Ausente;Ausente;Ausente;17200;14500;4250;4;1.21;0.34;0.75;8;37;94;59;<0.006;<0.002;0.5;10;38;Extremadamente deteriorada
24;Arroyo Sarandí;AV052;15/5/2019;2019;otoño;18.5;6.35;;7.77;Ausente;Ausente;Ausente;Ausente;2200;2200;700;4.5;1.54;0.36;0.98;10;25;67;<50;<0.006;<0.002;0.5;10;48;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;15/5/2019;2019;otoño;17.7;5.2;;7.57;Ausente;Ausente;Ausente;Ausente;205000;202500;7300;2.4;1.93;0.73;0.73;13;63;51;<50;<0.006;<0.002;0.5;10;38;Extremadamente deteriorada
26;Arroyo Santo Domingo;AV053;15/5/2019;2019;otoño;17.6;0.28;;7.45;Ausente;Ausente;Ausente;Ausente;75000;66000;6950;3;2.34;0.8;0.96;12;48;44;<50;<0.006;<0.002;0.5;10;37;Extremadamente deteriorada
27;Espora 400 m;QU061;15/5/2019;2019;otoño;14;6.52;;7.3;Ausente;Ausente;Ausente;;21000;18800;3150;3.5;2.21;0.44;0.63;10;21;53;<50;<0.006;<0.002;0.5;10;41;Extremadamente deteriorada
28;Náutico 400 m;QU062;15/5/2019;2019;otoño;15;8.3;;;Ausente;Ausente;Ausente;Ausente;4600;3400;30;4;1;0.33;0.75;10;29;84;<50;<0.006;<0.002;0.5;10;48;Muy deteriorada
29;Pejerrey Club 400 m;QU063;15/5/2019;2019;otoño;15;9.29;;7.04;Ausente;Ausente;Ausente;Presencia;4000;3100;150;5.9;0.78;0.36;0.4;8;17;99;<50;<0.006;<0.002;0.5;10;49;Muy deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;15/5/2019;2019;otoño;16.9;12.39;;8.52;Presencia;Ausencia;Ausencia;Ausencia;3600;3500;300;8.3;0.76;0.47;0.59;20;38;85;<50;<0.006;<0.002;0.5;15;43;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;15/5/2019;2019;otoño;16.4;9.77;;7.85;Ausencia;Ausencia;Ausencia;Ausencia;2900;2700;650;6;0.43;0.37;0.65;20;29;45;<50;<0.006;<0.002;0.5;10;49;Muy deteriorada
32;Costanera Hudson Calle 63;BZ080;15/5/2019;2019;otoño;14.2;10.72;;7.53;Ausencia;Ausencia;Ausencia;Ausencia;900;600;350;7.8;0.1;0.51;0.55;18;21;67;<50;<0.006;<0.002;0.5;10;56;Muy deteriorada
33;Camping Eva Perón;EN081;15/5/2019;2019;otoño;16.7;9.8;;8.34;Ausencia;Ausencia;Ausencia;Ausencia;400;100;10;8.6;0.22;0.41;0.41;14;59;100;<50;<0.006;<0.002;0.5;10;70;Deteriorada
34;Toma de agua Club de Pesca;EN082;15/5/2019;2019;otoño;16.7;8.39;;8.13;Ausencia;Ausencia;Ausencia;Ausencia;150;150;10;8.9;0.05;0.43;0.6;18;25;97;<50;<0.006;<0.002;0.5;10;66;Deteriorada
35;Arroyo El Gato;EN083;15/5/2019;2019;otoño;15.6;1.47;;7.86;Ausencia;Ausencia;Ausencia;Ausencia;163500;151500;9000;2.7;8.5;0.6;0.87;32;90;53;<50;<0.006;<0.002;0.5;10;36;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;15/5/2019;2019;otoño;16.3;4.52;;7.74;Ausencia;Ausencia;Ausencia;Ausencia;1700;1600;300;11.8;0.2;0.16;0.17;22;70;56;<50;<0.006;<0.002;0.5;10;55;Muy deteriorada
37;Balneario Palo Blanco;BS092;15/5/2019;2019;otoño;10;6.78;;7.62;Ausencia;Ausencia;Ausencia;Ausencia;20900;19200;5800;4.6;2.6;0.57;0.57;10;51;31;<50;<0.006;<0.002;0.5;10;41;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;15/5/2019;2019;otoño;10;8.28;;8.08;Presencia;Presencia;Presencia;Ausencia;119000;116000;18600;4.8;4.17;0.61;0.7;8;48;65;<50;<0.006;<0.002;0.5;10;34;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;15/5/2019;2019;otoño;10;9.97;;8.51;Ausencia;Ausencia;Ausencia;Ausencia;2800;2500;550;6.5;0.97;0.43;0.5;10;29;87;<50;<0.006;<0.002;0.5;10;49;Muy deteriorada
40;Balneario Municipal;BS094;15/5/2019;2019;otoño;10;9.72;;8.31;Ausencia;Presencia;Ausencia;Presencia;1200;800;500;5.7;0.17;0.4;0.4;10;17;96;<50;<0.006;<0.002;0.5;10;53;Muy deteriorada
41;Playa La Balandra;BS093;15/5/2019;2019;otoño;10;8.48;;7.73;Ausencia;Ausencia;Ausencia;Ausencia;250;250;10;3.7;0.21;0.4;0.99;12;59;41;<50;<0.006;<0.002;0.5;10;69;Deteriorada
1;Canal Villanueva y Río Luján;TI001;7/8/2019;2019;invierno;14.1;9.45;;7.62;Ausencia;Ausencia;Ausencia;Ausencia;100;100;300;3.9;0.14;0.12;0.12;<2;46;96;<50;<0.006;<0.002;0.5;10;77;Deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;7/8/2019;2019;invierno;14.1;9.39 ;;7.65;Ausencia;Ausencia;Ausencia;Ausencia;800;400;200;4.4;0.1;0.19;0.87;<2;37;99;125;<0.006;<0.002;0.5;10;55;Muy deteriorada
3;Canal Aliviador y Río Lujan;TI002;7/8/2019;2019;invierno;14;8.55 ;;7.66;Ausencia;Ausencia;Ausencia;Ausencia;15200;8300;3450;4.2;0.42;0.15;1.65;3;51;91;<50;<0.006;<0.002;0.5;10;43;Extremadamente deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;7/8/2019;2019;invierno;13.9;8.5 ;;7.62;Ausencia;Ausencia;Ausencia;Ausencia;5700;2300;850;4.6;0.51;0.16;1.12;<2;46;96;<50;<0.006;<0.002;0.5;10;46;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;7/8/2019;2019;invierno;13.9; 7.9 ;;7.63;Ausencia;Ausencia;Ausencia;Ausencia;12400;12200;2450;4.9;0.83;0.21;0.81;4;36;87;<50;<0.006;<0.002;0.5;10;42;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;7/8/2019;2019;invierno;14.1; 7.68 ;;7.89;Ausencia;Ausencia;Ausencia;Ausencia;15500;13800;1300;3.7;1.44;0.32;0.32;2;46;81;75;<0.006;<0.002;0.5;10;41;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007;7/8/2019;2019;invierno;14.1; 8.11 ;;7.61;Ausencia;Ausencia;Ausencia;Ausencia;8200;5100;2100;3.8;0.66;0.18;0.24;14;46;92;<50;<0.006;<0.002;0.5;10;43;Extremadamente deteriorada
8;Río Capitán y Río San Antonio;TI008;7/8/2019;2019;invierno;14.3; 9.73 ;;7.71;Ausencia;Ausencia;Ausencia;Ausencia;600;600;30;4.4;0.09;0.18;0.81;3;48;100;<50;<0.006;<0.002;0.5;10;60;Muy deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;7/8/2019;2019;invierno;14.3; 9.63 ;;7.72;Ausencia;Ausencia;Ausencia;Ausencia;400;100;200;4.1;0.05;0.12;0.12;4;59;98;<50;<0.006;<0.002;0.5;10;77;Deteriorada
10;Del Arca;SF015;7/8/2019;2019;invierno;14.2;8.08;;7.71;Ausencia;Ausencia;Ausencia;presencia;6600;4300;1600;4.7;0.74;0.24;0.56;13;42;79;<50;<0.006;<0.002;0.5;10;42;Extremadamente deteriorada
11;Espigón La Farola;SI021;;2019;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
12;Reserva Ecológica;SI022;7/8/2019;2019;invierno;13.7;9.59;;7.81;Ausencia;Ausencia;Ausencia;Ausencia;8000;4700;2050;7.4;0.53;0.21;0.21;11;45;105;<50;<0.006;<0.002;0.5;10;41;Extremadamente deteriorada
13;Playa Espigón de Pacheco;SI024;7/8/2019;2019;invierno;13.9;9.21;;7.94;Ausencia;Ausencia;Presencia;Ausencia;14000;12900;4200;7.2;0.7;0.26;0;6;74;70;<50;<0.006;<0.002;0.5;10;42;Extremadamente deteriorada
14;Perú Puente;SI023;7/8/2019;2019;invierno;16.6;3.96;;7.71;Ausencia;Ausencia;Ausencia;presencia;55000;40200;16300;28;0.87;0.35;0.26;9;59;34;-;<0.006;<0.002;0.5;10;36;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;7/8/2019;2019;invierno;13.3;9.7;;7.66;ausencia;ausencia;ausencia;ausencia;23200;12700;4200;67;0.44;0.38;0.38;6;55;79;195;<0.006;<0.002;0.5;10;41;Extremadamente deteriorada
16;Puerto de Olivos Espigón;VL032;7/8/2019;2019;invierno;13.3;8.3;;7.48;ausencia;ausencia;ausencia;ausencia;12600;7800;2350;8.3;0.78;0.32;0.32;5;41;81;-;<0.006;<0.002;0.5;10;43;Extremadamente deteriorada
17;Costa y Melo;VL031;7/8/2019;2019;invierno;13;8.5;;7.77;ausencia;ausencia;ausencia;presencia;72500;39400;17000;9.3;1.12;0.36;0.37;8;41;70;74;<0.006;<0.002;0.5;10;36;Extremadamente deteriorada
18;Parque de los Niños;CA041;31/7/2019;2019;invierno;19.9;6.4;;7.8;;;;;9600;6800;650;<10;3.21;2.5;;<50;320;-;39;-;<0.02;0.5;10;35;Extremadamente deteriorada
19;Costanera Norte - Espigón Abanico;CA044;31/7/2019;2019;invierno;14.5;4.5;;7.5;;;;;35000;35000;8500;<10;1.93;1.5;;<50;160;-;54;-;<0.02;0.5;10;24;Extremadamente deteriorada
20;Club de Pescadores;CA046;31/7/2019;2019;invierno;14.9;7.5;;7.9;;;;;5600;5300;920;<10;1.41;1.1;;<50;0.18;-;92;-;<0.02;0.5;10;32;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;31/7/2019;2019;invierno;14.2;7.2;;8.1;;;;;9600;6800;650;<10;3.21;2.5;;<50;0.32;-;90;-;<0.02;0.5;10;31;Extremadamente deteriorada
22;Escollera de Propaneros;AV054;7/8/2019;2019;invierno;13.73;8.21;;6.65;Ausencia;Ausencia;Ausencia;Ausencia;5100;1700;700;5.7;0.75;0.16;0.21;4;48;86;<50;<0.006;<0.002;0.5;10;50;Muy deteriorada
23;Polo Petroquímico Dock Sud;AV051;7/8/2019;2019;invierno;13.17;8.94;;7.27;Ausencia;Ausencia;Ausencia;Ausencia;3500;1000;200;6.6;0.53;0.11;0.11;2;59;94;85;<0.006;<0.002;0.5;10;55;Muy deteriorada
24;Arroyo Sarandí;AV052;7/8/2019;2019;invierno;13.67;7.85;;7.55;Ausencia;Ausencia;Ausencia;Ausencia;6100;2100;350;6;0.83;0.16;0.5;6;51;56;<50;<0.006;<0.002;0.5;10;49;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;7/8/2019;2019;invierno;13.44;8.61;;7.39;Ausencia;Ausencia;Ausencia;Ausencia;800;700;10;5.7;0.75;0.15;0.56;8;41;71;<50;<0.006;<0.002;0.5;10;61;Muy deteriorada
26;Arroyo Santo Domingo;AV053;7/8/2019;2019;invierno;13.04;8.39;;7.54;Ausencia;Ausencia;Ausencia;Ausencia;1800;600;40;5.4;0.91;0.27;0.59;2;28;85;<50;<0.006;<0.002;0.5;10;57;Muy deteriorada
27;Espora 400 m;QU061;;2019;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
28;Náutico 400 m;QU062;;2019;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
